ts_event,main_option_value,main_option_greeks,other_options_total_value,other_options_total_greeks,all_options_total_greeks,remaining_delta,future_value,futures_position,total_portfolio_value
2023-06-23,[10.42025942],"[[4.38978612e-01]
 [1.29897877e-04]
 [1.57551177e+03]]",-42.528614858477994,[-4.57916478e-01 -1.29897877e-04 -1.57551177e+03],[-1.89378655e-02 -6.91245563e-14  6.82121026e-13],[-0.01893787],[4484.],[84.91738902],[52.80903358]
2023-06-26,[8.95586626],"[[4.41316301e-01]
 [1.30987187e-04]
 [1.57984946e+03]]",-53.276336123000725,[-4.58711791e-01 -1.30987187e-04 -1.57984946e+03],[-1.739549e-02 -1.858863e-13  0.000000e+00],[-0.01739549],[4490.],[78.10575007],[33.78528021]
2023-06-27,[21.74438131],"[[4.41587494e-01]
 [1.26521866e-04]
 [1.57130630e+03]]",-58.857899920864014,[-4.56627578e-01 -1.26521866e-04 -1.57130630e+03],[-1.50400844e-02 -4.45340650e-13  2.27373675e-13],[-0.01504008],[4562.5],[68.62038511],[31.5068665]
2023-06-28,[20.05984773],"[[4.42095038e-01]
 [1.27185792e-04]
 [1.57241618e+03]]",-58.60405675211226,[-4.63381178e-01 -1.27185792e-04 -1.57241618e+03],[-2.12861403e-02  3.89295529e-14 -9.09494702e-13],[-0.02128614],[4558.51851852],[97.0332646],[58.48905558]
2023-06-29,[15.25],"[[4.50491811e-01]
 [1.26589748e-04]
 [1.58908640e+03]]",-57.13752937511588,[-4.67330865e-01 -1.26589748e-04 -1.58908640e+03],[-1.68390534e-02 -2.27822264e-13  0.00000000e+00],[-0.01683905],[4565.5],[76.87869813],[34.99116876]
2023-06-30,[19.5],"[[4.48950182e-01]
 [1.25746701e-04]
 [1.58203049e+03]]",-68.77162628624845,[-4.66283740e-01 -1.25746701e-04 -1.58203049e+03],[-1.73335576e-02  8.12282641e-14  6.82121026e-13],[-0.01733356],[4581.25],[79.40936063],[30.13773435]
2023-07-03,[10.71932569],"[[4.59364564e-01]
 [1.27969556e-04]
 [1.61011056e+03]]",-56.480351067313435,[-4.77992338e-01 -1.27969555e-04 -1.61011056e+03],[-1.86277741e-02  1.39634371e-13  6.82121026e-13],[-0.01862777],[4588.],[85.46422736],[39.70320198]
2023-07-04,[9.98249251],"[[4.50908139e-01]
 [1.29148118e-04]
 [1.58504967e+03]]",-44.82702246630158,[-4.71250860e-01 -1.29148119e-04 -1.58504967e+03],[-2.03427207e-02 -1.85047290e-13 -2.27373675e-13],[-0.02034272],[4537.75],[92.31018085],[57.46565089]
2023-07-05,[28.56068428],"[[4.41429400e-01]
 [1.23906146e-04]
 [1.54493070e+03]]",-70.04111072404811,[-4.59659380e-01 -1.23906146e-04 -1.54493070e+03],[-1.82299806e-02 -1.58621434e-13 -1.13686838e-12],[-0.01822998],[4576.],[83.4203911],[41.93996465]
2023-07-06,[37.6271703],"[[4.30128709e-01]
 [1.21781153e-04]
 [1.50271779e+03]]",-69.91805743201905,[-4.49389992e-01 -1.21781153e-04 -1.50271779e+03],[-1.92612832e-02 -2.93032430e-13 -9.09494702e-13],[-0.01926128],[4542.],[87.48474823],[55.1938611]
2023-07-07,[19.69279507],"[[4.42835655e-01]
 [1.25771338e-04]
 [1.54617057e+03]]",-58.63901468196665,[-4.60829441e-01 -1.25771338e-04 -1.54617057e+03],[-1.79937859e-02  3.37028040e-14  9.09494702e-13],[-0.01799379],[4540.],[81.69178791],[42.74556831]
2023-07-10,[7.17674125],"[[4.55464326e-01]
 [1.29813339e-04]
 [1.58448228e+03]]",-52.299038818585004,[-4.73858893e-01 -1.29813339e-04 -1.58448228e+03],[-1.83945670e-02 -1.81159341e-15  6.82121026e-13],[-0.01839457],[4535.],[83.41936149],[38.29706393]
2023-07-11,[18.74858613],"[[4.46384210e-01]
 [1.25989382e-04]
 [1.54839261e+03]]",-57.27511310192078,[-4.65829004e-01 -1.25989383e-04 -1.54839261e+03],[-1.94447944e-02 -1.16690322e-13  0.00000000e+00],[-0.01944479],[4553.],[88.53214869],[50.00562172]
2023-07-12,[20.97252559],"[[4.55267112e-01]
 [1.24708064e-04]
 [1.57008347e+03]]",-69.29385746795782,[-4.73968104e-01 -1.24708064e-04 -1.57008347e+03],[-1.87009911e-02 -1.30506418e-13  4.54747351e-13],[-0.01870099],[4610.75],[86.22559487],[37.904263]
2023-07-13,[28.91289314],"[[4.55659277e-01]
 [1.22637739e-04]
 [1.56500302e+03]]",-74.51737188322792,[-4.73834843e-01 -1.22637739e-04 -1.56500302e+03],[-1.81755654e-02  2.73519543e-14  6.82121026e-13],[-0.01817557],[4644.5],[84.4164136],[38.81193485]
2023-07-14,[23.01937389],"[[4.69182568e-01]
 [1.23367659e-04]
 [1.60406257e+03]]",-82.61590526953623,[-4.84071978e-01 -1.23367659e-04 -1.60406257e+03],[-1.48894100e-02 -1.15037916e-13 -2.27373675e-13],[-0.01488941],[4695.],[69.90578007],[10.30924869]
2023-07-17,[26.51694821],"[[4.59618991e-01]
 [1.23784409e-04]
 [1.57170619e+03]]",-69.65570857074331,[-4.78844180e-01 -1.23784409e-04 -1.57170619e+03],[-1.92251886e-02 -2.77240064e-13 -6.82121026e-13],[-0.01922519],[4660.],[89.58937887],[46.45061851]
2023-07-18,[28.62352076],"[[4.63179233e-01]
 [1.23256029e-04]
 [1.57920221e+03]]",-79.69395457889313,[-4.81388326e-01 -1.23256029e-04 -1.57920221e+03],[-1.82090938e-02  1.20827339e-13  4.54747351e-13],[-0.01820909],[4688.],[85.36423158],[34.29379776]
2023-07-19,[32.4434448],"[[4.74183647e-01]
 [1.21889782e-04]
 [1.60612980e+03]]",-83.08247193280727,[-4.89830548e-01 -1.21889782e-04 -1.60612980e+03],[-1.56469016e-02 -4.99857995e-14 -4.54747351e-13],[-0.0156469],[4761.25],[74.49881041],[23.85978328]
2023-07-20,[16.64250611],"[[4.70151553e-01]
 [1.24814333e-04]
 [1.59415837e+03]]",-75.53401316315285,[-4.88581642e-01 -1.24814333e-04 -1.59415837e+03],[-1.84300892e-02 -2.58557851e-13 -4.54747351e-13],[-0.01843009],[4665.],[85.97636633],[27.08485928]
2023-07-21,[38.17053338],"[[4.54102286e-01]
 [1.21127125e-04]
 [1.53971200e+03]]",-83.46945773087484,[-4.72494488e-01 -1.21127125e-04 -1.53971200e+03],[-1.83922020e-02  3.03104980e-14 -2.27373675e-13],[-0.0183922],[4665.],[85.79962235],[40.500698]
2023-07-24,[36.02142714],"[[4.57566727e-01]
 [1.21789104e-04]
 [1.54497415e+03]]",-74.45563559663545,[-4.77930656e-01 -1.21789104e-04 -1.54497415e+03],[-2.03639295e-02 -5.91063656e-14  0.00000000e+00],[-0.02036393],[4677.],[95.24209808],[56.80788962]
2023-07-25,[35.51958651],"[[4.64319196e-01]
 [1.21253383e-04]
 [1.56018224e+03]]",-92.81168093546107,[-4.85722890e-01 -1.21253383e-04 -1.56018224e+03],[-2.14036938e-02 -8.76207608e-14 -6.82121026e-13],[-0.02140369],[4709.],[100.78999399],[43.49789956]
2023-07-26,[66.31956725],"[[4.46084375e-01]
 [1.17052243e-04]
 [1.49824279e+03]]",-96.86756137657979,[-4.65595375e-01 -1.17052243e-04 -1.49824279e+03],[-1.95109996e-02 -2.04421441e-14 -6.82121026e-13],[-0.019511],[4703.75],[91.77486432],[61.22687018]
2023-07-27,[69.10260214],"[[4.38723310e-01]
 [1.16986386e-04]
 [1.47478568e+03]]",-114.97140859171128,[-4.59329506e-01 -1.16986386e-04 -1.47478568e+03],[-2.06061961e-02  1.46997201e-13 -6.82121026e-13],[-0.0206062],[4671.],[96.25154186],[50.38273541]
2023-07-28,[29.75],"[[4.68095874e-01]
 [1.22663476e-04]
 [1.56751929e+03]]",-95.84045921710131,[-4.89004552e-01 -1.22663476e-04 -1.56751929e+03],[-2.09086772e-02 -1.32713718e-13 -9.09494702e-13],[-0.02090868],[4710.],[98.47986955],[32.38941033]
2023-07-31,[32.25455239],"[[4.68299976e-01]
 [1.22548892e-04]
 [1.56164159e+03]]",-82.05814074853747,[-4.89380109e-01 -1.22548892e-04 -1.56164159e+03],[-2.10801325e-02 -9.36672614e-14  2.27373675e-13],[-0.02108013],[4720.75],[99.51403554],[49.71044719]
2023-08-01,[13.86603285],"[[4.76536864e-01]
 [1.26618812e-04]
 [1.59031945e+03]]",-80.58294367994114,[-4.95846003e-01 -1.26618812e-04 -1.59031945e+03],[-1.93091385e-02 -1.72313607e-14  0.00000000e+00],[-0.01930914],[4689.75],[90.55503212],[23.83812129]
2023-08-02,[30.79222671],"[[4.54014545e-01]
 [1.24268912e-04]
 [1.52079065e+03]]",-95.52957242807013,[-4.75052788e-01 -1.24268912e-04 -1.52079065e+03],[-2.10382428e-02  3.87883898e-14  4.54747351e-13],[-0.02103824],[4640.5],[97.62796559],[32.89061987]
2023-08-03,[26.387068],"[[4.58774795e-01]
 [1.23931180e-04]
 [1.52809253e+03]]",-80.21285128725971,[-4.78824593e-01 -1.23931180e-04 -1.52809253e+03],[-2.00497976e-02 -8.09501663e-14  4.54747351e-13],[-0.0200498],[4640.5],[93.04108571],[39.21530243]
2023-08-04,[11.36125059],"[[4.63813913e-01]
 [1.28179059e-04]
 [1.54819480e+03]]",-66.39870203826968,[-4.84514688e-01 -1.28179059e-04 -1.54819480e+03],[-2.07007749e-02 -2.96270170e-14  0.00000000e+00],[-0.02070077],[4600.],[95.22356442],[40.18611297]
2023-08-07,[38.39780941],"[[4.49874271e-01]
 [1.22786936e-04]
 [1.49362415e+03]]",-89.80912895655518,[-4.75508411e-01 -1.22786936e-04 -1.49362415e+03],[-2.56341400e-02  1.92273172e-13  6.82121026e-13],[-0.02563414],[4638.],[118.89114125],[67.4798217]
2023-08-08,[20.75],"[[4.58204897e-01]
 [1.26512718e-04]
 [1.52207217e+03]]",-74.81899797900628,[-4.79764197e-01 -1.26512718e-04 -1.52207217e+03],[-2.15593004e-02 -3.54870755e-14 -4.54747351e-13],[-0.0215593],[4619.75],[99.59857793],[45.52957996]
2023-08-09,[11.0800584],"[[4.59742089e-01]
 [1.30323604e-04]
 [1.53328520e+03]]",-76.45315090286711,[-4.80536656e-01 -1.30323604e-04 -1.53328520e+03],[-2.07945673e-02  6.41479871e-14 -6.82121026e-13],[-0.02079457],[4587.75],[95.40027604],[30.02718354]
2023-08-10,[20.40053231],"[[4.52421107e-01]
 [1.27276650e-04]
 [1.50277081e+03]]",-92.84492764451545,[-4.75287043e-01 -1.27276650e-04 -1.50277081e+03],[-2.28659358e-02  1.08947682e-14  2.27373675e-13],[-0.02286594],[4587.],[104.88604748],[32.44165215]
2023-08-11,[23.84757979],"[[4.49560901e-01]
 [1.26994061e-04]
 [1.49304339e+03]]",-72.58697336770884,[-4.70254452e-01 -1.26994061e-04 -1.49304339e+03],[-2.06935506e-02 -8.48425876e-14 -4.54747351e-13],[-0.02069355],[4588.5],[94.95235688],[46.21296331]
2023-08-14,[22.67314517],"[[4.61663480e-01]
 [1.26883103e-04]
 [1.52072440e+03]]",-77.87247186770156,[-4.82863095e-01 -1.26883103e-04 -1.52072440e+03],[-2.11996158e-02  2.89354044e-14  0.00000000e+00],[-0.02119962],[4651.],[98.59941311],[43.40008641]
2023-08-15,[26.36958509],"[[4.41176952e-01]
 [1.28061761e-04]
 [1.46468600e+03]]",-80.32777466807929,[-4.64746144e-01 -1.28061761e-04 -1.46468600e+03],[-2.35691916e-02  5.24693136e-14  0.00000000e+00],[-0.02356919],[4558.75],[107.4460521],[53.48786252]
2023-08-16,[29.6753595],"[[4.47183213e-01]
 [1.27318797e-04]
 [1.47914216e+03]]",-74.82588050071743,[-4.66263251e-01 -1.27318797e-04 -1.47914216e+03],[-1.90800375e-02 -1.09635743e-13 -9.09494702e-13],[-0.01908004],[4606.],[87.88265281],[42.73213181]
2023-08-17,[21.25902745],"[[4.43993868e-01]
 [1.29240121e-04]
 [1.46978969e+03]]",-67.48857426773907,[-4.65018411e-01 -1.29240121e-04 -1.46978969e+03],[-2.10245436e-02 -1.04436831e-13 -2.27373675e-13],[-0.02102454],[4552.5],[95.71423465],[49.48468783]
2023-08-18,[20.55571161],"[[4.30488162e-01]
 [1.31026307e-04]
 [1.43394411e+03]]",-54.912944673534625,[-4.53396132e-01 -1.31026307e-04 -1.43394411e+03],[-2.29079696e-02 -2.72768245e-13 -9.09494702e-13],[-0.02290797],[4481.],[102.6506118],[68.29337873]
2023-08-21,[13.36149742],"[[4.47420893e-01]
 [1.32341993e-04]
 [1.47743597e+03]]",-55.304169579509185,[-4.70344214e-01 -1.32341993e-04 -1.47743597e+03],[-2.29233213e-02  1.01131668e-13  2.27373675e-13],[-0.02292332],[4540.],[104.0718785],[62.12920634]
2023-08-22,[11.5],"[[4.51927602e-01]
 [1.33095106e-04]
 [1.49015653e+03]]",-58.01368768704329,[-4.77897362e-01 -1.33095106e-04 -1.49015653e+03],[-2.59697602e-02 -1.21894058e-13  2.27373675e-13],[-0.02596976],[4558.05555556],[118.3716096],[71.85792191]
2023-08-23,[13.5],"[[4.52131227e-01]
 [1.32586999e-04]
 [1.48800025e+03]]",-61.18046801070216,[-4.78607366e-01 -1.32586999e-04 -1.48800025e+03],[-2.64761392e-02 -2.97224810e-14  0.00000000e+00],[-0.02647614],[4571.],[121.02243215],[73.34196414]
2023-08-24,[15.25],"[[4.35290212e-01]
 [1.33317860e-04]
 [1.43948409e+03]]",-63.61693179918409,[-4.63528665e-01 -1.33317860e-04 -1.43948409e+03],[-2.82384530e-02 -6.92990587e-14  0.00000000e+00],[-0.02823845],[4487.],[126.70593839],[78.33900659]
2023-08-25,[12.93542223],"[[4.51689100e-01]
 [1.32865932e-04]
 [1.48225709e+03]]",-53.59442968096262,[-4.79662949e-01 -1.32865932e-04 -1.48225709e+03],[-2.79738485e-02 -2.20386182e-13 -1.13686838e-12],[-0.02797385],[4564.48148148],[127.68611355],[87.0271061]
2023-08-28,[13.01322215],"[[4.47411909e-01]
 [1.33887976e-04]
 [1.46649865e+03]]",-55.950386351185244,[-4.74710166e-01 -1.33887976e-04 -1.46649865e+03],[-2.72982579e-02 -8.15744499e-14  9.09494702e-13],[-0.02729826],[4545.5],[124.08423112],[81.14706692]
2023-08-29,[16.94036504],"[[4.63127010e-01]
 [1.32022120e-04]
 [1.50564993e+03]]",-70.2324181921492,[-4.93709328e-01 -1.32022120e-04 -1.50564993e+03],[-3.05823181e-02  1.83405266e-14 -4.54747351e-13],[-0.03058232],[4654.16666667],[142.3352055],[89.04315235]
2023-08-30,[32.66266402],"[[4.55819449e-01]
 [1.28802524e-04]
 [1.47724487e+03]]",-80.69824318199113,[-4.87355906e-01 -1.28802524e-04 -1.47724487e+03],[-3.15364568e-02  8.39576347e-14  0.00000000e+00],[-0.03153646],[4671.09259259],[147.30970998],[99.27413081]
2023-08-31,[9.8509926],"[[4.71321103e-01]
 [1.34552900e-04]
 [1.52962798e+03]]",-60.69484245247487,[-5.01906611e-01 -1.34552900e-04 -1.52962798e+03],[-3.05855086e-02 -1.11024633e-13  4.54747351e-13],[-0.03058551],[4670.69444444],[142.85556506],[92.01171521]
2023-09-01,[16.84652929],"[[4.65750151e-01]
 [1.33201162e-04]
 [1.51046464e+03]]",-78.77356007844836,[-4.97825597e-01 -1.33201162e-04 -1.51046464e+03],[-3.20754457e-02  1.04414280e-13  4.54747351e-13],[-0.03207545],[4676.88888889],[150.0132954],[88.08626461]
2023-09-04,[21.73957256],"[[4.53022953e-01]
 [1.33618906e-04]
 [1.47077199e+03]]",-67.98133687846672,[-4.86239281e-01 -1.33618906e-04 -1.47077199e+03],[-3.32163285e-02 -4.95718917e-15  2.27373675e-13],[-0.03321633],[4631.5],[153.84142547],[107.59966115]
2023-09-05,[43.70312037],"[[4.46943127e-01]
 [1.29629994e-04]
 [1.44492681e+03]]",-85.89809367155728,[-4.77364319e-01 -1.29629994e-04 -1.44492681e+03],[-3.04211926e-02 -1.59995850e-13  0.00000000e+00],[-0.03042119],[4668.75],[142.0289428],[99.8339695]
2023-09-06,[13.14910435],"[[4.48351322e-01]
 [1.36787676e-04]
 [1.45922610e+03]]",-63.87347022624046,[-4.79954100e-01 -1.36787676e-04 -1.45922610e+03],[-3.16027772e-02  2.99657217e-14  6.82121026e-13],[-0.03160278],[4571.25],[144.46419512],[93.73982925]
2023-09-07,[12.15819804],"[[4.46677872e-01]
 [1.37518887e-04]
 [1.45396589e+03]]",-60.597980864787615,[-4.81267970e-01 -1.37518887e-04 -1.45396589e+03],[-3.45900977e-02  4.35839516e-14 -4.54747351e-13],[-0.0345901],[4558.75],[157.68760771],[109.24782489]
2023-09-08,[13.06310108],"[[4.47218676e-01]
 [1.37404816e-04]
 [1.45327831e+03]]",-51.85310082267802,[-4.58695942e-01 -1.37404816e-04 -1.45327831e+03],[-1.14772663e-02 -1.99736468e-13 -4.54747351e-13],[-0.01147727],[4567.5],[52.42241396],[13.63241422]
2023-09-11,[30.11136199],"[[4.48759449e-01]
 [1.33531891e-04]
 [1.44444852e+03]]",-55.382573128987474,[-4.56557668e-01 -1.33531891e-04 -1.44444852e+03],[-7.79821830e-03  2.29215084e-13  1.13686838e-12],[-0.00779822],[4643.5],[36.21102668],[10.93981554]
2023-09-12,[16.90234751],"[[4.51838876e-01]
 [1.36833540e-04]
 [1.45667951e+03]]",-49.66485473798421,[-4.63598878e-01 -1.36833540e-04 -1.45667951e+03],[-1.17600019e-02 -1.76423925e-13 -9.09494702e-13],[-0.01176],[4614.64814815],[54.26827104],[21.50576381]
2023-09-13,[15.14924369],"[[4.54022771e-01]
 [1.37220209e-04]
 [1.46063668e+03]]",-50.339830878850115,[-4.63480025e-01 -1.37220209e-04 -1.46063668e+03],[-9.45725377e-03 -8.49603862e-14 -4.54747351e-13],[-0.00945725],[4618.5],[43.67832654],[8.48773935]
2023-09-14,[13.],"[[4.61263736e-01]
 [1.37769509e-04]
 [1.47930075e+03]]",-64.08401633244145,[-4.73040057e-01 -1.37769509e-04 -1.47930075e+03],[-1.17763205e-02  1.01969756e-14  2.27373675e-13],[-0.01177632],[4650.98148148],[54.77144847],[3.68743214]
2023-09-15,[15.63378113],"[[4.49398670e-01]
 [1.38396693e-04]
 [1.44732236e+03]]",-43.22294085612374,[-4.58142804e-01 -1.38396693e-04 -1.44732236e+03],[-8.74413346e-03 -9.38942392e-14 -9.09494702e-13],[-0.00874413],[4602.25],[40.24268822],[12.65352849]
2023-09-18,[14.65967399],"[[4.49221999e-01]
 [1.39054109e-04]
 [1.44079165e+03]]",-42.59066887120401,[-4.62799130e-01 -1.39054110e-04 -1.44079165e+03],[-1.35771313e-02 -5.23996862e-13  0.00000000e+00],[-0.01357713],[4597.61111111],[62.42236966],[34.49137477]
2023-09-19,[9.59752302],"[[4.52190522e-01]
 [1.40844083e-04]
 [1.44976832e+03]]",-42.48116117730686,[-4.65126415e-01 -1.40844083e-04 -1.44976832e+03],[-1.29358937e-02 -6.85828618e-14  2.27373675e-13],[-0.01293589],[4590.80555556],[59.38617281],[26.50253465]
2023-09-20,[10.38609938],"[[4.46877324e-01]
 [1.41248904e-04]
 [1.43427533e+03]]",-40.46071841431268,[-4.59742220e-01 -1.41248904e-04 -1.43427533e+03],[-1.28648952e-02  1.14670480e-13 -4.54747351e-13],[-0.0128649],[4567.94444444],[58.76612635],[28.69150731]
2023-09-21,[9.99398008],"[[4.28310904e-01]
 [1.43372145e-04]
 [1.38650113e+03]]",-41.00981066911554,[-4.39350158e-01 -1.43372145e-04 -1.38650113e+03],[-1.10392538e-02 -2.65206151e-14  6.82121026e-13],[-0.01103925],[4469.90740741],[49.34444224],[18.32861165]
2023-09-22,[6.25],"[[4.30153302e-01]
 [1.45251449e-04]
 [1.39251267e+03]]",-37.48835877260106,[-4.40704439e-01 -1.45251449e-04 -1.39251267e+03],[-1.05511372e-02 -2.47287000e-14 -2.27373675e-13],[-0.01055114],[4458.65740741],[47.043906],[15.80554723]
2023-09-25,[4.85],"[[4.34011465e-01]
 [1.46100642e-04]
 [1.39721850e+03]]",-35.844170541291135,[-4.45881716e-01 -1.46100642e-04 -1.39721850e+03],[-1.18702510e-02 -1.28236777e-13 -2.27373675e-13],[-0.01187025],[4469.98148148],[53.05980231],[22.06563177]
2023-09-26,[6.6755487],"[[4.24148697e-01]
 [1.46118882e-04]
 [1.36870430e+03]]",-34.55979097312458,[-4.34862816e-01 -1.46118882e-04 -1.36870430e+03],[-1.07141190e-02  2.26067076e-13  2.27373675e-13],[-0.01071412],[4432.07407407],[47.48576899],[19.60152672]
2023-09-27,[5.87024725],"[[4.20986809e-01]
 [1.47074569e-04]
 [1.35967320e+03]]",-29.08656794582935,[-4.32398053e-01 -1.47074569e-04 -1.35967320e+03],[-1.14112440e-02  1.58789892e-13  4.54747351e-13],[-0.01141124],[4411.25925926],[50.33795576],[27.12163506]
2023-09-28,[9.04514576],"[[4.19752114e-01]
 [1.45413580e-04]
 [1.35076463e+03]]",-36.22873305574373,[-4.29791073e-01 -1.45413580e-04 -1.35076463e+03],[-1.00389585e-02 -1.03290803e-13  0.00000000e+00],[-0.01003896],[4422.33333333],[44.395621],[17.2120337]
2023-09-29,[5.5],"[[4.26452416e-01]
 [1.47173782e-04]
 [1.37012927e+03]]",-30.315641998793353,[-4.38044955e-01 -1.47173782e-04 -1.37012927e+03],[-1.15925393e-02 -1.59646032e-13 -2.27373675e-13],[-0.01159254],[4439.40740741],[51.46400486],[26.64836286]
2023-10-02,[5.74208745],"[[4.20681614e-01]
 [1.48080655e-04]
 [1.34959266e+03]]",-25.904314076906644,[-4.32726898e-01 -1.48080655e-04 -1.34959266e+03],[-1.20452832e-02 -1.13286388e-13 -6.82121026e-13],[-0.01204528],[4413.61111111],[53.1631956],[33.00096897]
2023-10-03,[4.],"[[4.11766660e-01]
 [1.50387331e-04]
 [1.32757798e+03]]",-31.971553339656076,[-4.22032800e-01 -1.50387331e-04 -1.32757798e+03],[-1.02661396e-02  8.84862929e-14  2.27373675e-13],[-0.01026614],[4355.86111111],[44.71787817],[16.74632484]
2023-10-04,[6.26877238],"[[4.12789442e-01]
 [1.48919152e-04]
 [1.32577624e+03]]",-31.572900686198526,[-4.23186645e-01 -1.48919152e-04 -1.32577624e+03],[-1.03972029e-02 -2.17121433e-13 -4.54747351e-13],[-0.0103972],[4378.84259259],[45.5277148],[20.22358649]
2023-10-05,[6.43545416],"[[4.13179509e-01]
 [1.48858323e-04]
 [1.32425307e+03]]",-25.461843505378084,[-4.24728924e-01 -1.48858323e-04 -1.32425307e+03],[-1.15494144e-02 -4.10474091e-13 -9.09494702e-13],[-0.01154941],[4381.7962963],[50.60718144],[31.5807921]
2023-10-06,[5.05],"[[4.26361292e-01]
 [1.48483663e-04]
 [1.35578400e+03]]",-36.02257570212636,[-4.36702795e-01 -1.48483663e-04 -1.35578400e+03],[-1.03415028e-02 -8.94187610e-15  4.54747351e-13],[-0.0103415],[4440.05555556],[45.91684717],[14.94427146]
2023-10-09,[5.0814338],"[[4.27169340e-01]
 [1.49226626e-04]
 [1.35301624e+03]]",-39.57968768842004,[-4.37171472e-01 -1.49226626e-04 -1.35301624e+03],[-1.00021326e-02 -2.40227895e-13 -2.27373675e-13],[-0.01000213],[4450.31481481],[44.51263877],[10.01438487]
2023-10-10,[5.69650982],"[[4.34542647e-01]
 [1.48313527e-04]
 [1.36828891e+03]]",-34.840346665865226,[-4.45791154e-01 -1.48313527e-04 -1.36828891e+03],[-1.12485069e-02  8.81387790e-14  0.00000000e+00],[-0.01124851],[4494.],[50.55079013],[21.40695329]
2023-10-11,[5.85015671],"[[4.35229457e-01]
 [1.48889704e-04]
 [1.36990796e+03]]",-33.49550525104962,[-4.45390132e-01 -1.48889704e-04 -1.36990796e+03],[-1.01606745e-02 -1.37516734e-13 -2.27373675e-13],[-0.01016067],[4504.61111111],[45.76988738],[18.12453884]
2023-10-12,[25.08983084],"[[4.16677619e-01]
 [1.43487514e-04]
 [1.30952499e+03]]",-40.1195830475223,[-4.23986851e-01 -1.43487514e-04 -1.30952499e+03],[-7.30923181e-03 -6.44630562e-14  0.00000000e+00],[-0.00730923],[4483.5],[32.77094082],[17.74118861]
2023-10-13,[6.1188361],"[[4.25639897e-01]
 [1.49669900e-04]
 [1.34097645e+03]]",-30.09204429181068,[-4.32760351e-01 -1.49669899e-04 -1.34097645e+03],[-7.12045388e-03  2.35179010e-13  2.27373675e-13],[-0.00712045],[4455.],[31.72162201],[7.74841382]
2023-10-16,[12.76557745],"[[4.27378891e-01]
 [1.48302710e-04]
 [1.33851015e+03]]",-37.18779613912939,[-4.34186468e-01 -1.48302710e-04 -1.33851015e+03],[-6.80757661e-03  3.29241842e-14 -4.54747351e-13],[-0.00680758],[4510.],[30.70217053],[6.27995184]
2023-10-17,[6.40249831],"[[4.29035217e-01]
 [1.50843285e-04]
 [1.34423436e+03]]",-34.44884798890219,[-4.39952522e-01 -1.50843285e-04 -1.34423436e+03],[-1.09173052e-02  7.76765262e-14  6.82121026e-13],[-0.01091731],[4486.51851852],[48.98069209],[20.93434241]
2023-10-18,[4.95],"[[4.22749282e-01]
 [1.52671074e-04]
 [1.32924727e+03]]",-31.13721263453781,[-4.29336590e-01 -1.52671074e-04 -1.32924727e+03],[-6.58730848e-03 -6.34519564e-14  0.00000000e+00],[-0.00658731],[4447.5],[29.29705445],[3.10984181]
2023-10-19,[4.45],"[[4.12516558e-01]
 [1.53850149e-04]
 [1.30179181e+03]]",-35.69405847413843,[-4.19175824e-01 -1.53850149e-04 -1.30179181e+03],[-6.65926661e-03 -4.32579320e-14 -2.27373675e-13],[-0.00665927],[4389.5],[29.23085077],[-2.01320771]
2023-10-20,[3.65],"[[4.04623146e-01]
 [1.55723916e-04]
 [1.28285002e+03]]",-28.69153286712151,[-4.14436642e-01 -1.55723917e-04 -1.28285002e+03],[-9.81349553e-03 -1.20372191e-13  0.00000000e+00],[-0.0098135],[4347.57407407],[42.66489872],[17.62336585]
2023-10-23,[4.88277033],"[[4.02036105e-01]
 [1.55708645e-04]
 [1.26957075e+03]]",-23.896116878012215,[-4.11537560e-01 -1.55708645e-04 -1.26957075e+03],[-9.50145480e-03  3.61333142e-14  0.00000000e+00],[-0.00950145],[4348.14814815],[41.31373308],[22.30038654]
2023-10-24,[9.43336131],"[[3.99272845e-01]
 [1.53873357e-04]
 [1.25780136e+03]]",-27.228688749514372,[-4.08679464e-01 -1.53873357e-04 -1.25780136e+03],[-9.40661869e-03  4.59266685e-14  0.00000000e+00],[-0.00940662],[4362.7037037],[41.0382902],[23.24296276]
2023-10-25,[3.32857059],"[[3.92205195e-01]
 [1.58276359e-04]
 [1.24386606e+03]]",-23.751450260000897,[-4.01325879e-01 -1.58276359e-04 -1.24386606e+03],[-9.12068459e-03  8.73492359e-14 -2.27373675e-13],[-0.00912068],[4290.35185185],[39.13094603],[18.70806636]
2023-10-26,[3.5292277],"[[3.87917914e-01]
 [1.58449935e-04]
 [1.23028462e+03]]",-21.583301678936515,[-3.96946321e-01 -1.58449935e-04 -1.23028462e+03],[-9.02840760e-03 -1.24691463e-13 -2.27373675e-13],[-0.00902841],[4269.7037037],[38.54862537],[20.49455139]
2023-10-27,[4.37315326],"[[3.76135966e-01]
 [1.58739148e-04]
 [1.19748050e+03]]",-18.615106818731338,[-3.85029527e-01 -1.58739148e-04 -1.19748050e+03],[-8.89356118e-03  2.62842320e-14 -4.54747351e-13],[-0.00889356],[4217.38888889],[37.5076061],[23.26565255]
2023-10-30,[1.9],"[[3.90273505e-01]
 [1.61306854e-04]
 [1.23312039e+03]]",-20.658803170876798,[-3.99590267e-01 -1.61306854e-04 -1.23312039e+03],[-9.31676219e-03  2.42158724e-14 -4.54747351e-13],[-0.00931676],[4276.24074074],[39.84071807],[21.0819149]
