ts_event,main_option_value,main_option_greeks,other_options_total_value,other_options_total_greeks,all_options_total_greeks,remaining_delta,future_value,futures_position,total_portfolio_value
2024-04-17,[14.],"[[4.49790397e-01]
 [2.83052562e-04]
 [8.29768743e+02]]",-75.65381150763116,[-4.76594972e-01 -2.83052562e-04 -8.29768743e+02],[-2.68045756e-02 -4.07184703e-13  3.41060513e-13],[-0.02680458],[5066.25],[135.79868118],[74.14486967]
2024-04-18,[12.],"[[4.41118841e-01]
 [2.85994471e-04]
 [8.16962413e+02]]",-75.65804687559648,[-4.67861843e-01 -2.85994471e-04 -8.16962413e+02],[-2.67430020e-02 -1.73657529e-13  0.00000000e+00],[-0.026743],[5040.],[134.78472993],[71.12668305]
2024-04-19,[9.9],"[[4.29224486e-01]
 [2.89034991e-04]
 [8.01017809e+02]]",-69.50534794499526,[-4.56101685e-01 -2.89034991e-04 -8.01017809e+02],[-2.68771989e-02  9.25166519e-14  0.00000000e+00],[-0.0268772],[5003.5],[134.48006462],[74.87471667]
2024-04-22,[10.25],"[[4.38822044e-01]
 [2.95286407e-04]
 [7.92670305e+02]]",-74.19798789888642,[-4.65989729e-01 -2.95286406e-04 -7.92670305e+02],[-2.71676855e-02  4.15888136e-13  1.02318154e-12],[-0.02716769],[5046.],[137.08814093],[73.14015303]
2024-04-23,[14.75],"[[4.59034527e-01]
 [2.95676722e-04]
 [8.02372534e+02]]",-78.72883563410275,[-4.87031102e-01 -2.95676722e-04 -8.02372534e+02],[-2.79965751e-02  4.12777722e-13 -2.27373675e-13],[-0.02799658],[5116.25],[143.23747731],[79.25864168]
2024-04-24,[10.25],"[[4.45679159e-01]
 [2.99695036e-04]
 [7.86652682e+02]]",-74.3017250211555,[-4.74506136e-01 -2.99695036e-04 -7.86652682e+02],[-2.88269764e-02  4.24522613e-14  0.00000000e+00],[-0.02882698],[5075.],[146.29690543],[82.2451804]
2024-04-25,[13.],"[[4.58052333e-01]
 [3.01429217e-04]
 [7.89855543e+02]]",-77.36472399956745,[-4.86525817e-01 -3.01429217e-04 -7.89855543e+02],[-2.84734842e-02  1.31827763e-13 -7.95807864e-13],[-0.02847348],[5119.5],[145.77000255],[81.40527855]
2024-04-26,[13.25],"[[4.60902098e-01]
 [3.03738083e-04]
 [7.85688925e+02]]",-82.92476620348853,[-4.89181901e-01 -3.03738083e-04 -7.85688925e+02],[-2.82798033e-02  7.37442876e-14  2.27373675e-13],[-0.0282798],[5131.75],[145.12488066],[75.45011445]
2024-04-29,[12.5],"[[4.62045630e-01]
 [3.11888594e-04]
 [7.67425609e+02]]",-86.26518668334843,[-4.90211290e-01 -3.11888594e-04 -7.67425609e+02],[-2.81656601e-02  1.39344645e-13  3.41060513e-13],[-0.02816566],[5144.75],[144.90527974],[71.14009306]
2024-04-30,[6.05],"[[4.33145514e-01]
 [3.17494062e-04]
 [7.40774532e+02]]",-73.8280565063969,[-4.62854179e-01 -3.17494062e-04 -7.40774532e+02],[-2.97086654e-02 -7.57586268e-14 -5.68434189e-13],[-0.02970867],[5057.75],[150.25900242],[82.48094591]
